ExhibitionID,Nationality,Gender,ExhibitionRole
2557.0,0,1,3
2557.0,15,1,1
2557.0,15,1,1
2557.0,10,1,1
2557.0,15,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,0,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2724.0,0,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,22,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,40,2,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,0,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,36,1,1
2942.0,36,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2942.0,15,1,1
2636.0,17,1,1
2636.0,17,1,1
2636.0,15,1,1
2636.0,0,1,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,0,0,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,36,1,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,25,1,1
2944.0,0,1,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,0,1,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,0,0,1
2944.0,40,2,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,0,1,1
2944.0,40,2,1
2944.0,0,1,1
2944.0,40,2,1
2853.0,0,1,1
