UserID,PreferredNationality,PreferredGender,PreferredExhibitionRole,InterestInModernArt,InterestInHistoricalArt,InterestInSculptures
1,-1,0,5,0.8924083222472413,0.0993797953450925,0.8100660582097702
2,-1,0,5,0.9410285507015546,0.1102101633124038,0.0310772864416642
3,33,-1,5,0.0422890816130155,0.2072391513843816,0.0494389426112329
4,19,-1,5,0.0807623310441368,0.195098797942259,0.2308170109071258
5,33,2,1,0.897640946688252,0.9383239956272807,0.7718012214361988
6,12,-1,1,0.3789635651639528,0.6586462854775331,0.334391664001973
7,-1,1,5,0.4926935025776994,0.8841934385452375,0.0167166429541609
8,-1,1,4,0.3624365520740171,0.1280455004896249,0.7379591483739321
9,-1,2,4,0.676756288497641,0.2564948634398631,0.2980419763158279
10,-1,1,-1,0.475227827075274,0.8826272328046972,0.704482429927297
11,-1,0,3,0.565344788445408,0.631294656875673,0.1134398271545351
12,-1,2,0,0.1650118508318055,0.5975027948796456,0.3627083278878772
13,33,2,-1,0.3697268404905266,0.164599370710968,0.4828473284023817
14,16,2,4,0.4165181114604381,0.6740148947602547,0.1783840241723026
15,16,1,4,0.2679461600830505,0.0787958853413416,0.828969230146388
16,-1,0,0,0.0064885786668881,0.6500251982584744,0.8044460111640082
17,16,-1,0,0.3713433095295018,0.5690163157610499,0.7579867678440882
18,-1,-1,0,0.3150431643164399,0.6991144095551856,0.6028398836971964
19,-1,2,-1,0.4327906961330808,0.4942199376113239,0.0014507147128391
20,43,-1,0,0.6633492367545188,0.4887614159668949,0.4288989913141207
21,-1,0,5,0.8364215794657375,0.911521663086246,0.1103654199726313
22,24,0,5,0.707017916174433,0.5966664496141355,0.323598782008226
23,-1,2,3,0.3854927471441725,0.1373964123559954,0.3628993840634259
24,24,-1,1,0.7463598202015268,0.1025256170732394,0.92644258128089
25,35,1,3,0.7859995309429705,0.0683978098552394,0.1678899013743573
26,6,0,2,0.7816402434822863,0.2717883339977265,0.1024615228321427
27,-1,0,-1,0.5196944326291866,0.3955159444048235,0.2064648587792898
28,-1,-1,0,0.3531051964933042,0.1162579869752655,0.4364187128657483
29,-1,0,1,0.7485029403692222,0.2508219307700073,0.5369794684995742
30,-1,2,2,0.3053449069811266,0.6853164384064214,0.1955410405917017
31,33,2,0,0.0013116935021083,0.0364703660588618,0.8714430406119315
32,-1,-1,3,0.0959463420295785,0.5959728655252442,0.5129913613432973
33,41,1,2,0.3455708423616069,0.238658896680648,0.6922559477645913
